Code RNCP/RS,Type de répertoire,Intitulé,Certificateurs,Niveau de qualification,Abrégé de diplôme public,Code(s) NSF,Code(s) ROME,Formacode(s),Statut,Date d'échéance de l'enregistrement,Ouverture à l'apprentissage,Ancienne(s) fiche(s),Nouvelle(s) fiche(s),Code,Metiers,Categorie_x,Lettre RIASEC Principale,Lettre RIASEC Secondaire,Lettre RIASEC tertiaire,Categorie_y,SIRET,code UAI,n° SIRET,type d'établissement,nom,statut,adresse,CP,commune,téléphone,académie,région,longitude (X),latitude (Y),journées portes ouvertes,URL et ID Onisep,Niveau attendu
RNCP34462,RNCP,Héliciculteur éleveur d'escargots,ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES CHAMBERY LA MOTTE-SERVOLEX (SAVOIE) (EPLEFPA) - LEGTA DE CHAMBERY LA MOTTE-SERVOLEX - 19730813300010,Niveau 4,,"212 : Productions animales, élevage spécialisé, aquaculture, soins aux animaux (y.c. vétérinaire)",A1408 : Élevage d''animaux sauvages ou de compagnie,21029 : Héliciculture,Active,2025-03-02,Non,RNCP21663 - Héliciculteur - éleveur d'escargots,,A1408,Éleveur / Éleveuse d'animaux,J'aime l'activité physique,R,E,S,"Élevage, pêche",19730813300010,0730813M,19730813300010,Lycée agricole,Lycée agricole Reinach,public,"1031 avenue Charles Albert, Domaine Reinach",73290,La Motte-Servolex,04 79 25 41 80,Grenoble,Auvergne-Rhône-Alpes,5.85953,45.5979,le 25/01/2025 de 09h00 à 16h00 (toutes formations),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12237,Inférieur au Bac
RNCP34520,RNCP,Chef d'équipe travaux publics route,"ASS GESTION CENTRE FORMATION CONTI FNTP - 30343318900030, CENTRE DE FORMATION EMILE PICO - 78273830600011",Niveau 4,,"231 : Mines et carrières, génie civil, topographie",F1704 : Préparation du gros oeuvre et des travaux publics,22054 : Travaux publics,Active,2025-03-30,Non,,,F1704,Manœuvre bâtiment,"J'ai envie de créer, construire, rénover",R,A,I,Gros Œuvre,30343318900030,0195062Z,30343318900030,Centre de formation d'apprentis,Centre de formation continue des travaux publics,privé,26 rue de Bellevue,19300,Egletons,05 55 93 05 18,Limoges,Nouvelle-Aquitaine,2.0663819,45.405484,le 15/02/2025 de 08h30 à 17h30 | le 08/03/2025 de 08h30 à 17h30,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23035,Inférieur au Bac
RNCP34521,RNCP,Chef d'équipe travaux publics réseaux,"ASS GESTION CENTRE FORMATION CONTI FNTP - 30343318900030, CENTRE DE FORMATION EMILE PICO - 78273830600011",Niveau 4,,"231 : Mines et carrières, génie civil, topographie",F1702 : Construction de routes et voies,22054 : Travaux publics,Active,2025-03-30,Non,,,F1702,Ouvrier / Ouvrière en voiries,"J'ai envie de créer, construire, rénover",R,A,I,BTP,30343318900030,0195062Z,30343318900030,Centre de formation d'apprentis,Centre de formation continue des travaux publics,privé,26 rue de Bellevue,19300,Egletons,05 55 93 05 18,Limoges,Nouvelle-Aquitaine,2.0663819,45.405484,le 15/02/2025 de 08h30 à 17h30 | le 08/03/2025 de 08h30 à 17h30,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23035,Inférieur au Bac
RNCP34522,RNCP,Chef d'équipe travaux publics terrassement,"ASS GESTION CENTRE FORMATION CONTI FNTP - 30343318900030, CENTRE DE FORMATION EMILE PICO - 78273830600011",Niveau 4,,"231 : Mines et carrières, génie civil, topographie",F1702 : Construction de routes et voies,22054 : Travaux publics,Active,2025-03-30,Non,,,F1702,Ouvrier / Ouvrière en voiries,"J'ai envie de créer, construire, rénover",R,A,I,BTP,30343318900030,0195062Z,30343318900030,Centre de formation d'apprentis,Centre de formation continue des travaux publics,privé,26 rue de Bellevue,19300,Egletons,05 55 93 05 18,Limoges,Nouvelle-Aquitaine,2.0663819,45.405484,le 15/02/2025 de 08h30 à 17h30 | le 08/03/2025 de 08h30 à 17h30,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23035,Inférieur au Bac
RNCP34542,RNCP,Chef d'équipe travaux publics génie civil,"ASS GESTION CENTRE FORMATION CONTI FNTP - 30343318900030, CENTRE DE FORMATION EMILE PICO - 78273830600011",Niveau 4,,"231 : Mines et carrières, génie civil, topographie",F1702 : Construction de routes et voies,22054 : Travaux publics,Active,2025-03-30,Non,,,F1702,Ouvrier / Ouvrière en voiries,"J'ai envie de créer, construire, rénover",R,A,I,BTP,30343318900030,0195062Z,30343318900030,Centre de formation d'apprentis,Centre de formation continue des travaux publics,privé,26 rue de Bellevue,19300,Egletons,05 55 93 05 18,Limoges,Nouvelle-Aquitaine,2.0663819,45.405484,le 15/02/2025 de 08h30 à 17h30 | le 08/03/2025 de 08h30 à 17h30,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23035,Inférieur au Bac
RNCP34653,RNCP,Pédicure pour bovins,"LYCEE GEN TECHNO AGRIC THEODORE MONOD - 19350700100017, LYCEE GEN TECHNO AGRIC THEODORE MONOD - 19350700100017",Niveau 4,,"212t : Soins des animaux, soins vétérinaires","A1502 : Podologie animale, A1416 : Polyculture, élevage, A1407 : Élevage bovin ou équin, A1301 : Conseil et assistance technique en agriculture",21056 : Élevage,Active,2025-05-29,Oui,,,A1502,Maréchal-ferrant / Maréchale-ferrante,J'aime le travail manuel,R,C,I,Soins animaliers,19350700100017,0350700W,19350700100017,Lycée agricole,Lycée agricole Théodore Monod,public,55 avenue de la Bouvardière,35651,Le Rheu,02 99 29 73 45,Rennes,Bretagne,-1.80925,48.0994,le 25/01/2025 de 09h00 à 16h00 | le 15/03/2025 de 09h00 à 13h00,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12525,Inférieur au Bac
RNCP34987,RNCP,Technicien d’intervention d'urgence sociale - Maraudeur (DU),UNIVERSITE D EVRY VAL D ESSONNE - 19911975100014,Niveau 4,,332 : Travail social,"K1302 : Assistance auprès d''adultes, K1305 : Intervention sociale et familiale",44072 : Travail social,Active,2025-10-14,Non,,,K1302,Assistant / Assistante de vie dépendance,J'ai le sens du contact,S,E,A,Social,19911975100014,0911975C,19911975100014,Université,Université d'Evry-Val-d'Essonne,public,"23 boulevard François Mitterrand, Bâtiment Ile-de-France",91025,Evry-Courcouronnes,01 69 47 71 25,Versailles,Ile-de-France,2.4259696563447,48.624905350686,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.259,Inférieur au Bac
RNCP35013,RNCP,Technicien viticulture oenologie,INSTITUT DE FORMATION EN COMMERCE & OENOLOGIE (I.F.C.O.) - 49155472100036,Niveau 4,,"211 : Productions végétales, cultures spécialisées et protection des cultures",A1405 : Arboriculture et viticulture,21510 : Vinification oenologie,Active,2025-10-14,Oui,RNCP26997 - Technicien viticulture oenologie,,A1405,Arboriculteur / Arboricultrice,J'aime l'activité physique,R,E,S,"Agriculture, sylviculture",49155472100036,0134122K,49155472100036,Centre de formation d'apprentis,Institut de formation en commerce et oenologie,privé hors contrat,"220 chemin du camp de Sarlier, les plateaux de l'Alta, les plateaux de l'Alta",13400,Aubagne,09 81 94 10 35,Aix-Marseille,Provence-Alpes-Côte d'Azur,5.3843143,43.2842056,le 15/02/2025 de 09h00 à 15h00,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21821,Inférieur au Bac
RNCP35429,RNCP,Assistant déclarant en douane,CENT PRIV FORM PROF UNION USAG POR ROUEN - 42388029300026,Niveau 4,,311p : Gestion des flux et des stocks de marchandises,N1202 : Gestion des opérations de circulation internationale des marchandises,31859 : Procédure douanière,Active,2026-03-17,Oui,,,N1202,Employé / Employée de transit,J'ai le souci du détail,C,I,R,Transport,42388029300026,,42388029300026,Autre établissement d'enseignement,Centre privé de formation professionnelle de l'Union portuaire rouennaise (UPR),privé,66 quai de Boisguilbert,76000,Rouen,02 35 71 69 97,Normandie,Normandie,1.0736171,49.4439383,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5347,Inférieur au Bac
RNCP35749,RNCP,Assistant comptable,INST DE FORMATION COMMERCIALE PERMANENTE - 77573724000322,Niveau 4,,314t : Etablissement des documents comptables et de gestion,"M1602 : Opérations administratives, M1203 : Comptabilité",35049 : Secrétariat assistanat comptabilité,Active,2026-07-08,Oui,RNCP26757 - Assistant(e) comptable,,M1602,Agent administratif / Agente administrative,J'ai le souci du détail,C,I,R,Service public,77573724000322,0942446Y,77573724000322,Centre de formation d'apprentis,Institut de formation commerciale permanente - site Rungis,privé reconnu par l'Etat,5 rue du Caducée,94154,Rungis,01 56 34 69 69,Créteil,Ile-de-France,2.3584020137787,48.763643301132,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21935,Inférieur au Bac
RNCP35967,RNCP,Agent d'exploitation des services maritimes et portuaires,AFTRAL - 30540504500017,Niveau 4,,"311 : Transports, manutention, magasinage","N1202 : Gestion des opérations de circulation internationale des marchandises, N3201 : Exploitation des opérations portuaires et du transport maritime",31847 : Transport international marchandise,Active,2026-10-15,Oui,RNCP13310 - Agent d'exploitation des services maritimes et portuaires,,N1202,Employé / Employée de transit,J'ai le souci du détail,C,I,R,Transport,30540504500017,0756163S,30540504500017,Centre de formation d'apprentis,CFA en transport et logistique - AFTRAL Paris,privé,46 avenue de Villiers,75017,Paris,08 09 90 89 08,Paris,Ile-de-France,2.3080679,48.8832598,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23236,Inférieur au Bac
RNCP36080,RNCP,Secrétaire médical et médico-social,CROIX ROUGE FRANCAISE - 77567227221138,Niveau 4,,"324t : Saisie, mise en forme et communication des données","M1609 : Secrétariat et assistanat médical ou médico-social, D1401 : Assistanat commercial","35015 : Secrétariat assistanat médicosocial, 15001 : Prise notes",Active,2026-12-15,Oui,RNCP29378 - Secrétaire médical - secrétaire médico-social,,M1609,Secrétaire médical / Secrétaire médicale,J'ai le sens du contact,S,E,A,Médical,77567227221138,0756065K,77567227221138,École de santé,Croix-Rouge Compétence - site de Paris,privé sous contrat,98 rue Didot,75014,Paris,01 84 83 10 20,Paris,Ile-de-France,2.3166882991791,48.828593779768,le 01/02/2025 de 10h00 à 16h30 voir https://competence.croix-rouge.fr/actualite/portes-ouvertes-decouvrir-metiers-sante-social/,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7054,Inférieur au Bac
RNCP36309,RNCP,Technicien de maintenance des ascenseurs,AFORP FORMATION (CFAI) - 77572845400205,Niveau 4,,"255r : Contrôle, essais, maintenance en électricité, électronique",I1301 : Installation et maintenance d''ascenseurs,22493 : Ascenseur,Active,2027-03-25,Oui,RNCP24794 - Technicien(ne) de maintenance des ascenseurs,,I1301,Ascensoriste,J'aime le travail manuel,R,C,I,Maintenance,77572845400205,0932760V,77572845400205,Centre de formation d'apprentis,CFA Aforp formation  - site de Tremblay-en-France,privé,64 avenue de la  plaine de France,93290,Tremblay-en-France,01 43 11 10 70,Créteil,Ile-de-France,2.42213,48.9288,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13807,Inférieur au Bac
RNCP36514,RNCP,Technicien de cirque,CENTRE NATIONAL ARTS DU CIRQUE - 34137252200019,Niveau 4,,"323t : Réalisation du service : montage, éclairage, prise de vue et prise de son","F1502 : Montage de structures métalliques, L1504 : Éclairage spectacle, L1508 : Prise de son et sonorisation","45042 : Technique spectacle, 45020 : Cirque arts rue",Active,2025-06-01,Non,,,F1502,Échafaudeur / Échafaudeuse,"J'ai envie de créer, construire, rénover",R,A,I,Industrie - Métallurgie,34137252200019,0511931X,34137252200019,École d'art,Ecole nationale supérieure de cirque,public,1 rue du Cirque,51000,Châlons-en-Champagne,03 26 21 12 43,Reims,Grand Est,4.36234,48.9511,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12592,Inférieur au Bac
RNCP36734,RNCP,Secrétaire médical,ECOLE VIDAL SARL - ECOLE VIDAL VIDAL FORMATION - 38797206000066,Niveau 4,,"324t : Saisie, mise en forme et communication des données",M1609 : Secrétariat et assistanat médical ou médico-social,35035 : Secrétariat assistanat spécialisé,Active,2027-07-20,Oui,RNCP1615 - Secrétaire médical(e),,M1609,Secrétaire médical / Secrétaire médicale,J'ai le sens du contact,S,E,A,Médical,38797206000066,0311192C,38797206000066,Autre établissement d'enseignement,Ecoles supérieures privées Vidal,privé,11 rue du 11 novembre 1918,31300,Toulouse,05 61 61 51 51,Toulouse,Occitanie,1.4150344,43.5930416,le 25/01/2025 de 09h30 à 16h30 (sur inscription) voir https://www.ecoles-vidal.fr/form/inscription-aux-jpo,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11940,Inférieur au Bac
RNCP36853,RNCP,Berger vacher transhumant,"ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES CHAMBERY LA MOTTE-SERVOLEX (SAVOIE) (EPLEFPA) - LEGTA DE CHAMBERY LA MOTTE-SERVOLEX - 19730813300010, ETABLISSEMENT PUBLIC LOCAL D ENSEIGNEMENT ET DE FORMATION PROFESSIONN",Niveau 4,,"212 : Productions animales, élevage spécialisé, aquaculture, soins aux animaux (y.c. vétérinaire)","A1416 : Polyculture, élevage",21056 : Élevage,Active,2025-09-29,Non,RNCP34717 - Berger-Vacher d'Alpage | RNCP12962 - Berger vacher transhumant,,A1416,Agriculteur / Agricultrice,J'aime l'activité physique,R,E,S,"Élevage, pêche",19730813300010,0730813M,19730813300010,Lycée agricole,Lycée agricole Reinach,public,"1031 avenue Charles Albert, Domaine Reinach",73290,La Motte-Servolex,04 79 25 41 80,Grenoble,Auvergne-Rhône-Alpes,5.85953,45.5979,le 25/01/2025 de 09h00 à 16h00 (toutes formations),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12237,Inférieur au Bac
RNCP36925,RNCP,Secrétaire juridique,SESAM FORMATIONS - 34812741600066,Niveau 4,,"324 : Secrétariat, bureautique, 345 : Application des droits et statuts des personnes","M1607 : Secrétariat, K1902 : Collaboration juridique",35006 : Secrétariat assistanat juridique,Active,2025-09-29,Oui,,,M1607,Secrétaire,J'ai le sens du contact,S,E,A,Gestion administrative,34812741600066,0442393M,34812741600066,Autre établissement d'enseignement,Institut Sesam,privé hors contrat,16 rue Gaetan Rondeau,44200,Nantes,02 40 47 44 39,Nantes,Pays de la Loire,-1.5364358,47.2058674,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1032,Inférieur au Bac
RNCP37051,RNCP,"Vendeur agenceur de cuisine, salle de bains et rangement","ASSOCIATION POUR LA FORMATION PROFESSIONNELLE DANS LES INDUSTRIES DE L'AMEUBLEMENT LYON - 45094656100021, NOVEHA - 45101497100019",Niveau 4,,"230 : Spécialités pluritechnologiques génie civil, construction, bois","F1102 : Conception - aménagement d''espaces intérieurs, D1212 : Vente en décoration et équipement du foyer, D1403 : Relation commerciale auprès de particuliers","22408 : Cuisine salle de bains, 34536 : Vente équipement maison",Active,2025-11-23,Oui,RNCP28092 - Vendeur - agenceur de cuisines et salles de bains,,F1102,Architecte d'intérieur,J'ai un bon coup de crayon,A,R,I,Architecture,45094656100021,0692781Y,45094656100021,Centre de formation d'apprentis,CFA de l'AFPIA Lyon,privé,55 rue Feuillat,69003,Lyon,04 72 69 76 20,Lyon,Auvergne-Rhône-Alpes,4.8749,45.7453,le 25/01/2025 de 09h00 à 16h00 (sur inscription) voir https://www.afpia-lyon.fr/jpo-afpia-lyon.html,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7683,Inférieur au Bac
RNCP37335,RNCP,Groom équin,"MAISON FAMIL RURALE EDUCATION ET ORIENTA - 78638426300012, ASS DES MAISONS FAMILIALES BALLEROY - 78073249100011",Niveau 4,,"212 : Productions animales, élevage spécialisé, aquaculture, soins aux animaux (y.c. vétérinaire), 311 : Transports, manutention, magasinage",A1501 : Aide aux soins animaux,21088 : Élevage cheval,Active,2025-02-17,Oui,RNCP34494 - Groom équin,,A1501,Auxiliaire vétérinaire,J'aime m'occuper des animaux,S,R,I,Soins animaliers,78638426300012,0851307J,78638426300012,Maison familiale rurale,MFR de Bournezeau,privé sous contrat,4 route de la Roche Sur Yon,85480,Bournezeau,02 51 40 71 19,Nantes,Pays de la Loire,-1.18444,46.6393,le 18/01/2025 de 09h00 à 17h00 | le 22/03/2025 de 09h00 à 17h00,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14999,Inférieur au Bac
RNCP37343,RNCP,Maquilleur professionnel,MAKE UP FOR EVER - 31830926700199,Niveau 4,,"336 : Coiffure, esthétique et autres spécialites de services aux personnes, 336v : Maquillage de scène",L1501 : Coiffure et maquillage spectacle,42062 : Maquillage spectacle,Active,2025-02-17,Non,RNCP34903 - Maquilleur Professionnel,,L1501,Maquilleur / Maquilleuse spectacle,J'ai le souci du détail,C,I,R,Spectacle,31830926700199,,31830926700199,École d'art,Make up for ever academy,privé,110 avenue Victor Hugo,92100,Boulogne-Billancourt,01 56 45 11 12,Versailles,Ile-de-France,2.244146,48.8350262,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16723,Inférieur au Bac
